dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.658192,10.807830,0.200000,2.000000,10.000000,50.000000,6.238880
0.200000,5.398445,10.720858,0.945344,3.726721,8.633604,-6.831978,6.092871
0.200000,6.570040,10.346659,2.175246,6.149510,12.113945,17.401703,5.860168
0.200000,7.955488,9.506024,3.795782,8.102677,9.765837,-11.740542,5.636198
0.200000,9.389098,8.282478,5.680537,9.423777,6.605501,-15.801680,5.550810
0.200000,10.823493,7.119765,7.526991,9.232269,-0.957542,-37.815216,5.702550
0.200000,12.272063,6.519538,9.094991,7.840001,-6.961340,-30.018987,6.122589
0.200000,14.145409,6.423123,10.970817,9.379128,7.695633,73.284865,6.233426
0.200000,16.095844,6.354813,12.922448,9.758156,1.895140,-29.002463,6.281597
0.200000,17.896933,6.492669,14.728805,9.031785,-3.631852,-27.634963,0.189355
0.200000,19.332263,7.065492,16.274217,7.727060,-6.523627,-14.458874,0.631221
0.200000,20.158719,8.088892,17.589655,6.577192,-5.749337,3.871450,1.124083
0.200000,20.516627,9.220343,18.776364,5.933546,-3.218231,12.655532,1.378541
0.200000,20.636123,10.138632,19.702396,4.630158,-6.516942,-16.493558,1.496319
0.200000,20.663272,10.727485,20.291874,2.947390,-8.413839,-9.484487,1.551112
0.200000,20.665650,10.953713,20.518115,1.131205,-9.080925,-3.335428,1.569217
0.200000,20.665667,10.974309,20.538711,0.102979,-5.141130,19.698975,1.570796
0.200000,20.665667,10.974309,20.538711,0.000000,-0.514895,23.131173,1.570796
