dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.613901,9.808811,0.200000,2.000000,10.000000,50.000000,6.238880
0.200000,5.209277,9.738914,0.800000,4.000000,10.000000,0.000000,6.092871
0.200000,6.159526,9.434805,1.800000,6.000000,10.000000,0.000000,5.860168
0.200000,7.352703,8.708121,3.200000,8.000000,10.000000,0.000000,5.636198
0.200000,8.720461,7.538890,5.000000,10.000000,10.000000,0.000000,5.550810
0.200000,10.274938,6.283651,7.000000,10.000000,0.000000,-50.000000,5.702550
0.200000,12.112156,5.532406,9.000000,10.000000,0.000000,0.000000,6.122589
0.200000,14.095670,5.424360,11.000000,10.000000,0.000000,0.000000,6.233426
0.200000,16.094256,5.354815,13.000000,10.000000,0.000000,0.000000,6.281597
0.200000,18.085159,5.510543,15.000000,10.000000,0.000000,0.000000,0.189355
0.200000,19.922394,6.258184,17.000000,10.000000,0.000000,0.000000,0.631221
0.200000,21.060591,7.656889,18.822173,8.221730,-8.891349,-44.456743,1.124083
0.200000,21.498203,9.029270,20.266519,6.221730,-10.000000,-5.543257,1.378541
0.200000,21.633351,10.064224,21.310865,4.221730,-10.000000,0.000000,1.496319
0.200000,21.663078,10.707801,21.955211,2.221730,-10.000000,0.000000,1.551112
0.200000,21.665649,10.952134,22.199557,0.221730,-10.000000,0.000000,1.569217
0.200000,21.665667,10.974309,22.221730,0.000000,-1.108651,44.456743,1.570796
0.200000,21.665667,10.974309,22.221730,0.000000,0.000000,5.543257,1.570796
