dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.569610,8.809792,0.200000,2.000000,10.000000,50.000000,6.238880
0.200000,5.020109,8.756969,0.653585,2.267927,1.339635,-43.301827,6.092871
0.200000,5.749011,8.522951,1.419133,3.827736,7.799045,32.297051,5.860168
0.200000,6.749918,7.910217,2.592699,5.867830,10.200473,12.007140,5.636198
0.200000,8.051823,6.795302,4.306756,8.570286,13.512277,16.559021,5.550810
0.200000,9.726383,5.447536,6.456319,10.747817,10.887658,-13.123093,5.702550
0.200000,11.952249,4.545274,8.858101,12.008908,6.305454,-22.911021,6.122589
0.200000,14.045931,4.425598,10.955201,10.485500,-7.617042,-69.612482,6.233426
0.200000,16.092667,4.354816,13.003161,10.239799,-1.228503,31.942696,6.281597
0.200000,18.273384,4.528417,15.190776,10.938078,3.491394,23.599484,0.189355
0.200000,20.512525,5.450877,17.612487,12.108554,5.852381,11.804939,0.631221
0.200000,21.962463,7.224885,19.903650,11.455814,-3.263702,-45.580416,1.124083
0.200000,22.479779,8.838198,21.597873,8.471116,-14.923489,-58.298938,1.378541
0.200000,22.630578,9.989816,22.759323,5.807247,-13.319343,8.020729,1.496319
0.200000,22.662884,10.688118,23.458372,3.495246,-11.560005,8.796693,1.551112
0.200000,22.665648,10.950555,23.720823,1.312256,-10.914952,3.225262,1.569217
0.200000,22.665667,10.974309,23.744578,0.118772,-5.967417,24.737677,1.570796
0.200000,22.665667,10.974309,23.744578,0.000000,-0.593862,26.867773,1.570796
